City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Godean,ID,75.04,overcast clouds,-7.7697,110.2939,Rumah Limas
2,Rikitea,PF,77.32,overcast clouds,-23.1203,-134.9692,People ThankYou
3,Hervey Bay,AU,75.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
7,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
11,Vaini,TO,81.46,overcast clouds,-21.2,-175.2,Keleti Beach Resort
12,Puerto Ayora,EC,76.44,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Atuona,PF,77.72,few clouds,-9.8,-139.0333,Villa Enata
17,Tiarei,PF,84.22,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
20,Bandarbeyla,SO,75.76,overcast clouds,9.4942,50.8122,JABIR HOTEL
25,Corn Island,NI,79.21,few clouds,12.1694,-83.0418,Big Fish Guest House
28,Biak,ID,76.35,overcast clouds,-0.9131,122.8766,Penginapan Kim
31,Acajutla,SV,88.81,scattered clouds,13.5928,-89.8275,Laureles
32,Arraial Do Cabo,BR,76.64,light rain,-22.9661,-42.0278,Pousada Porto Praia
43,Coruripe,BR,78.08,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
45,Sinnamary,GF,78.8,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
46,Lorengau,PG,80.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
56,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
61,Hilo,US,77.11,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Bucerias,MX,78.78,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
74,Labuhan,ID,78.21,overcast clouds,-6.8844,112.2051,DoubleFAG
75,Port Blair,IN,75.92,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
77,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
80,Hithadhoo,MV,80.87,overcast clouds,-0.6,73.0833,Scoop Guest House
82,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
91,Padang,ID,76.53,light rain,-0.9492,100.3543,Mercure Padang
94,Souillac,MU,79.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
98,Maryborough,AU,75.11,broken clouds,-25.5333,152.7,Blue Shades Motel
103,Tamboril,DO,84.97,broken clouds,19.4854,-70.611,Camp David Ranch Restaurant
111,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
112,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
124,Sola,VU,83.21,overcast clouds,-13.8833,167.55,Leumerus Bungalows
126,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
131,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
135,Sumbe,AO,78.26,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
138,Isangel,VU,80.17,heavy intensity rain,-19.55,169.2667,Tanna Lodge
140,Mahebourg,MU,79.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
141,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
142,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
148,Tam Ky,VN,75.18,few clouds,15.5667,108.4833,Khách Sạn Đông Á
153,Treinta Y Tres,UY,77.59,scattered clouds,-33.2333,-54.3833,Jardines Apart-Hotel
157,Buchanan,LR,78.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
159,La Libertad,EC,83.86,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
170,Natal,BR,79.45,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
175,Rawson,AR,83.1,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
183,San Luis,AR,88.5,clear sky,-33.295,-66.3356,Huarpes Hotel
189,Gabu,GW,82.49,scattered clouds,12.2833,-14.2167,Hotel karsa
191,Kavaratti,IN,80.51,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
196,Diego De Almagro,CL,76.69,clear sky,-26.3667,-70.05,hotel luna del desierto
200,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
205,Kendari,ID,75.15,overcast clouds,-3.945,122.4989,Hotel Wixel
208,Tefe,BR,82.51,few clouds,-3.3542,-64.7114,Aracati Hotel
211,Kimbe,PG,77.22,light rain,-5.5502,150.1429,Kimbe Bay Hotel
214,Roebourne,AU,82.58,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
222,Jeremie,HT,78.75,scattered clouds,18.65,-74.1167,Auberge’Inn
226,Valparaiso,CL,75.43,few clouds,-33.0393,-71.6273,Hotel Ultramar
233,Kavieng,PG,82.18,light rain,-2.5744,150.7967,Nusa Island Retreat
234,Bambous Virieux,MU,79.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
235,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
240,Alofi,NU,81.55,broken clouds,-19.0595,-169.9187,Taloa Heights
242,Campoverde,PE,85.69,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
243,Mahibadhoo,MV,81.55,clear sky,3.7833,72.9667,Omadhoo Inn
247,Banes,CU,81.21,scattered clouds,20.9625,-75.7186,Hostal Iván y yailet
248,Ures,MX,78.85,clear sky,29.4333,-110.4,Hacienda Quinta Napoles
253,Vao,NC,78.66,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
