City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Quatre Cocos,MU,2022-01-28 16:04:36,-20.2078,57.7625,79.09,77,19,12.01
1,Busselton,AU,2022-01-28 16:04:38,-33.65,115.3333,67.08,65,0,14.65
2,Barrow,US,2022-01-28 16:04:38,71.2906,-156.7887,-18.38,69,0,12.66
3,Nalut,LY,2022-01-28 16:03:42,30.3333,10.85,54.09,21,0,2.42
4,Saskylakh,RU,2022-01-28 16:04:40,71.9167,114.0833,0.57,88,100,6.93
5,Mar Del Plata,AR,2022-01-28 16:04:41,-38.0023,-57.5575,75.22,67,20,14.0
6,Siniscola,IT,2022-01-28 16:04:42,40.5719,9.6922,56.75,71,42,2.91
7,Araguacu,BR,2022-01-28 16:04:42,-12.9306,-49.8264,79.39,79,100,5.37
8,Vaini,TO,2022-01-28 16:04:43,-21.2,-175.2,82.24,79,95,19.57
9,Asau,RO,2022-01-28 16:04:43,46.4333,26.4,36.52,72,26,15.99
10,Severo-Kurilsk,RU,2022-01-28 16:04:44,50.6789,156.125,22.89,73,100,34.11
11,Chokurdakh,RU,2022-01-28 16:01:46,70.6333,147.9167,-30.82,95,31,5.46
12,Port Alfred,ZA,2022-01-28 16:04:45,-33.5906,26.891,71.92,75,38,18.59
13,Atuona,PF,2022-01-28 16:04:45,-9.8,-139.0333,77.09,77,4,13.98
14,Hobart,AU,2022-01-28 16:04:46,-42.8794,147.3294,64.02,83,100,9.22
15,Esperance,AU,2022-01-28 16:04:47,-33.8667,121.9,64.24,79,0,16.64
16,Gazojak,TM,2022-01-28 16:04:47,41.1875,61.4036,34.38,95,100,25.23
17,Beringovskiy,RU,2022-01-28 16:04:48,63.05,179.3167,-6.97,94,80,2.57
18,Playas,EC,2022-01-28 16:04:48,-2.6333,-80.3833,73.54,92,100,3.6
19,Butaritari,KI,2022-01-28 16:04:50,3.0707,172.7902,81.75,80,24,17.05
20,Sampit,ID,2022-01-28 16:04:51,-2.5333,112.95,73.85,98,100,3.4
21,Kirakira,SB,2022-01-28 16:04:52,-10.4544,161.9205,79.2,87,100,9.95
22,Leshukonskoye,RU,2022-01-28 16:04:55,64.8989,45.7622,10.78,94,100,7.07
23,Bubaque,GW,2022-01-28 16:04:55,11.2833,-15.8333,79.32,44,86,5.23
24,Caravelas,BR,2022-01-28 16:04:57,-17.7125,-39.2481,87.1,55,22,9.55
25,Rikitea,PF,2022-01-28 16:04:57,-23.1203,-134.9692,77.4,77,100,17.29
26,Hokitika,NZ,2022-01-28 16:04:58,-42.7167,170.9667,55.74,84,93,3.11
27,Aranos,NA,2022-01-28 16:00:43,-24.1333,19.1167,93.2,21,60,14.52
28,Mataura,NZ,2022-01-28 16:04:59,-46.1927,168.8643,48.47,88,75,1.66
29,Marsa Matruh,EG,2022-01-28 16:05:01,31.3525,27.2453,56.28,66,53,19.48
30,Isangel,VU,2022-01-28 16:05:02,-19.55,169.2667,77.77,92,100,13.22
31,Gayeri,BF,2022-01-28 16:05:03,12.6497,0.4931,91.26,10,35,12.3
32,Hermanus,ZA,2022-01-28 16:00:39,-34.4187,19.2345,76.89,62,2,15.12
33,Cabo San Lucas,MX,2022-01-28 16:05:06,22.8909,-109.9124,71.15,65,40,3.44
34,Punta Arenas,CL,2022-01-28 16:05:10,-53.15,-70.9167,64.42,67,0,5.75
35,Hofn,IS,2022-01-28 16:05:11,64.2539,-15.2082,35.62,55,20,18.41
36,Klaksvik,FO,2022-01-28 16:05:12,62.2266,-6.589,49.12,93,100,33.2
37,Saint-Augustin,CA,2022-01-28 16:05:13,51.226,-58.6502,25.05,92,100,23.58
38,Merauke,ID,2022-01-28 16:05:13,-8.4667,140.3333,81.55,83,100,11.41
39,Puerto Escondido,MX,2022-01-28 16:05:14,15.85,-97.0667,85.03,70,0,5.75
40,Tazovskiy,RU,2022-01-28 16:05:15,67.4667,78.7,2.66,96,99,9.95
41,Kapaa,US,2022-01-28 16:05:15,22.0752,-159.319,64.72,94,0,5.75
42,Tasiilaq,GL,2022-01-28 16:05:17,65.6145,-37.6368,14.16,62,1,6.62
43,Avarua,CK,2022-01-28 16:04:44,-21.2078,-159.775,77.05,88,20,6.91
44,Cidreira,BR,2022-01-28 16:04:43,-30.1811,-50.2056,74.77,57,91,13.27
45,Muros,ES,2022-01-28 16:05:19,42.7762,-9.0603,64.09,36,0,4.52
46,Lexington,US,2022-01-28 16:03:38,37.9887,-84.4777,31.32,82,100,4.61
47,Lethem,GY,2022-01-28 16:06:21,3.3803,-59.7968,92.23,37,6,10.92
48,Miri,MY,2022-01-28 16:06:23,4.4148,114.0089,78.33,83,100,3.56
49,Ushuaia,AR,2022-01-28 16:06:25,-54.8,-68.3,56.82,76,100,3.44
50,Laguna,US,2022-01-28 16:06:25,38.421,-121.4238,50.88,94,0,0.0
51,Saldanha,ZA,2022-01-28 16:06:26,-33.0117,17.9442,66.87,71,0,26.69
52,Carnarvon,AU,2022-01-28 16:06:28,-24.8667,113.6333,73.47,88,0,5.75
53,Nikolskoye,RU,2022-01-28 16:06:29,59.7035,30.7861,27.39,96,100,5.91
54,Grindavik,IS,2022-01-28 16:06:30,63.8424,-22.4338,32.47,69,75,34.52
55,Upernavik,GL,2022-01-28 16:06:31,72.7868,-56.1549,-4.99,69,100,9.95
